,název
1010,Zhong tai quan tan sheng si zhan
1011,Hun shen shi dan
1012,Plameny
1013,Miliónový brouk
1014,Fízlové 3: Ve jménu zásad
1015,The Leviathan
1016,Dr. Yuen a Wisely a sedmero prokletí
1017,Salinjaeui gieokbeob
1018,Hardcore Henry
1019,Star Trek VII: Generace
1020,Argo
1021,Stříbrný Střevíček
1022,Dantovské peklo
1023,Jumanji: Vítejte v džungli!
1024,R.O.D - Read or Die
1025,Tepepa
1026,Špióni v převleku
1027,Whiskey zloděj
1028,Napoli violenta
1029,Muži v černém 3
1030,Příšera z Michiganského jezera
1031,The Buddhist Fist
1032,LEGO® Batman film
1033,Úkladná vražda
1034,Mladý Indiana Jones: Démoni mámení
